cardId;title;trefwoorden;
65;Van harte Gefeliciteerd met katten;poes,poezen,gefeliciteerd,van-harte,felicitatie,kat
334;Verjaardagskaart met lieve puppies;hond,puppy,jarig,verjaardag,gefeliciteerd,felicitatie,honden
335;Verjaardagskaart met lieve poesjes;poes,verjaardag,jarig,felicitatie,gefeliciteerd,kat
367;Zet de botox maar vast klaar;abraham,50,50-jaar,botox,delfts-blauw,tegeltje,spreuk
423;Abraham of Opa kaart;abraham,opa,50,groen,stippen
673;Feestkaart Lichte rode wijn;rode-wijn,wijn,glas,fles,feest,felicitatie,lichte-rode-wijn,feestkaart
893;Fijne verjaardag zeester;felicitatie,feest,verjaardag,bruin,zand,strand,zee,schelpen
1029;Fred en Ed als honkbalkampioenen;fred-en-ed,honkbal,baseball,sport,verjaardag,felicitatie,kinderfeestje,uitnodigingskaart
1580;Verjaardagskaart met klaproos;zomaar,felicitatie,rood,verjaardag
1653;Moments kaart Jarige;felicitatie,jongen,verjaardag,kinderkaart,bmx,stoer,fiets
1662;Te laat met rode achtergrond;te-laat,sorry,felicitatie
3035;Verjaardagskaart met lieve uilt met rozen voor vrouw;felicitatie,jarig,verjaardag,mocards,uil,vrouw,lief
7974;Vogelfeest;feest,vrolijk,vogels,grappig,verjaardag-grappig
7983;Varkentje met taart;gefeliciteerd,happy-birthday,kinderkaart,ruitjes,vrolijk,taart
7989;Verjaardagsvogel;vogel,grappig,fiets,fietsen,verjaardag-grappig,hippe-vogel,illustratie
8254;oude dinky toy;auto,nostalgisch,vriendschap,zomaar,dinky-toy
8453;Paarse paradijsvogel;jarig,verjaardag,vogel,grappig,verjaardag-grappig,roze
9016;Fietsend feestvarken;gefeliciteerd,feestvarken,grappig,fiets,verjaardag-grappig
9833;Bloemenweide met klaprozen;bloemen,groeten,felicitatie,zomaar,succeswens
12772;Bonbons 1 - OTTI;chique,cadeaukaart,eten,feest,bonbon,otti,snoepen,kado
13066;3 versierde muffins - OT;vrolijk,felicitatie,muffin,uitnodiging,kinderfeestje,otti,grappig,zelf-te-versieren
13501;Vrolijke Donuts met stippen - OT;wenskaart,uitnodigingskaart,felicitatie,verjaardag,zomaar,zoet,otti
16050;duo kaart oude dinky toys;man,verjaardag,verkeer,50,dinkey-toy
16053;gefeliciteerd met je 38ste verjaardag;felicitatie,verjaardag,gefeliciteerd,uitnodiging,38
16058;stapel autootjes;felicitatie,jarig,verkeer,kinderkaart,auto
16059;In de file;felicitatie,verkeer,verjaardag,jarig,26
16111;Joyeux anniversaire;verjaardag,vrolijk,felicitatie,frans,joyeux-anniversaire,anniversaire,francais
19035;Verjaardagskaart meisje cadeau;verjaardag,felicitatie,jarig,vrolijk,verjaardagskaart,meisje
19091;Verjaardagskaart Vlaai 1 ;verjaardag,uitnodigingskaart,ansicht,felicitatie,jarig,otti
19094;Gefelicitaart met vlaai;felicitatie,verjaardag,taart,feest,vlaai,otti,grappig,humor
19417;stapel autootjes vierkant;jarig,verjaardag,vrolijk,felicitatie,speelgoed-auto
19572;Van Harte - Capppuccino;jarig,felicitatie,verjaardag,jubileum,hart,otti,koffie,retro
19573;Gefeliciteerd 7 - Witte Roos;jubileum,huwelijksjubileum,verjaardag,felicitatie,bloemen,otti
20070;75 procent groen - OT;verjaardag,leeftijdkaart,jarig,felicitatie,grappig,vrolijk,otti,bijzonder
20439;Verjaardagskaart Taart Chocolade;feest,felicitatie,verjaardag,jarig,gefelicitaart,otti,chocolade,taart
20501;Hondsgelukkig;felicitatie,jarig,kinderkaart,verjaardag,hond
23252;Gefeliciteerd zonnebloemen;felicitatie,gefeliciteerd,vrolijk,zonnebloem,bloemen,natuur,jarig,feest
23395;Gefeliciteerd Taartje of Gebakje - OT;verjaardag,felicitatie,gefeliciteerd,jarig,framboos,otti,nieuw,taart
24031;Gefeliciteerd Verjaardag Cartita Design;10-jaar,felicitatie,verjaardag,jarig,gefeliciteerd,besties,thee-drinken,humor,vrolijk,taartjes
25312;50 jaar oud he;felicitatie,50-jaar,50,uitnodiging,feest
25313;30 jaar oud he;felicitatie,30-jaar,uitnodiging,feest,30
25724;Vrolijke dieren voor de jarige;dieren,felicitatie,kinderkaart,kinderverjaardag,vrolijk,dieren-verjaardagskaart,dieren-kinderkaart
26202;Beer big en muis;felicitatie,kinderkaart,uitnodigingskaart,verjaardag,kinderverjaardag,dieren,feest
26643;Verjaardag kinderkaart Hoera 1 jaar;kinderfeestje,uitnodigingskaart,vrolijk,verjaardag,felicitatie,kinderkaart,leeftijdkaart,cijfers,leeftijdskaart,meisje
26644;Verjaardag kinderkaart Hoera 2 jaar;2-jaar,felicitatie,kinderfeestje,uitnodigingskaart,verjaardag,vrolijk,leeftijdkaart,jongen,cijfers,leeftijdskaart
26645;Verjaardag kinderkaart Hoera 3 jaar;felicitatie,kinderfeestje,uitnodigingskaart,verjaardag,vrolijk,leeftijdkaart,jongen,leeftijdskaart,cijfers
